2,3,0.38,0.07
3,2,-1.70,0.09 
2,5,0.26,0.07
5,2,-0.72,0.04
2,6,0.1,0.1  
6,2,-0.2,0.2
3,4,0.8,0.2     
4,3,-0.2,0.1   
3,5,-0.98,0.01 
5,3,1.4,0.2 
3,6,-1.7,0.2 
6,3,1.2,0.5 
3,7,-1.4,0.3
7,3,-0.5,0.2   
4,6,-0.92,0.07 
6,4,2.0,0.6  
4,7,-0.7,0.3 
7,4,0.1,0.2  
5,6,-0.6,0.4 
6,5,0.1,0.4  
6,7,-0.3,0.3
7,6,-0.4,0.4
44,45,-2.2,0.2
45,44,1.8,0.4
16,45,-2.0,0.3
45,16,-1.8,1.1
16,44,-0.8,0.3
44,16,-1.01,0.07
15,16,0.4,0.1
16,15,-0.23,0.07
15,38,-0.34,0.01
38,15,0.9,0.1
36,38,1.5,0.1
38,36,-1.40,0.09
38,39,0.41,0.04
39,38,0.1,0.2
35,39,1.0,0.1
39,35,-0.9,0.2
35,36,-0.2,0.1
36,35,0.8,0.1
15,8,0.3,0.3
8,15,-0.5,0.4
8,6,0.6,0.1
6,8,-0.8,0.1
