2,3,1.90,0.09
3,2,-1.40,0.01
2,5,0.78,0.04
5,2,-0.65,0.03
2,6,0.548,0.001
6,2,-0.8,0.4
3,4,0.74,0.03     
4,3,-0.9,0.4   
3,5,-0.98,0.01 
5,3,1.4,0.2 
3,6,-1.7,0.2
6,3,1.2,0.5
3,7,-1.6,0.1
7,3,1.9,0.1
4,6,-2.0,0.5
6,4,1.62,0.02
4,7,-2.5,0.1
7,4,2.62,0.09
5,6,-0.6,0.4
6,5,0.3,0.5  
6,7,-0.4,0.2
7,6,0.8,0.3
44,45,-0.8,0.8
45,44,1.0,0.4
16,45,1.2,0.1
45,16,-2.2,0.7
16,44,-0.39,0.04
44,16,-1.9,0.2
15,16,0.34,0.02
16,15,-0.8,0.1
15,38,-0.34,0.01
38,15,0.9,0.1
36,38,1.5,0.1
38,36,-1.40,0.09
38,39,0.41,0.04
39,38,0.1,0.2
35,39,1.0,0.1
39,35,-0.9,0.2
35,36,-0.2,0.1
36,35,0.8,0.1
6,8,-1.7,0.3
8,6,1.44,0.06
8,15,-0.2,0.4
15,8,1.2,0.9
